date,open,high,low,close,volume
2016-03-08,84.86,86.13,83.9,84.25,372929
2016-03-09,84.55,87.9,84.17,87.4,640795
2016-03-10,87.97,89.0,85.8,85.98,597752
2016-03-11,86.7,87.82,85.36,87.66,446083
2016-03-14,87.2,88.57,86.84,88.21,284789
2016-03-15,88.03,88.67,85.68,87.34,406672
2016-03-16,86.88,87.83,84.62,85.67,242540
2016-03-17,85.6,86.15,83.36,85.57,426480
2016-03-18,86.0,88.65,85.68,87.53,414956
2016-03-21,87.11,89.39,87.11,88.88,340536
2016-03-22,88.4,93.67,87.87,93.5,824631
2016-03-23,93.2,93.79,91.51,91.54,470236
2016-03-24,90.7,90.74,89.02,90.6,356452
2016-03-28,91.36,92.48,90.27,90.48,859829
2016-03-29,89.99,93.17,89.74,93.11,6388076
2016-03-30,93.74,94.21,92.93,93.03,890026
2016-03-31,92.79,95.21,92.05,94.81,750258
2016-04-01,94.62,97.0,93.74,96.58,638482
2016-04-04,96.64,97.49,95.49,95.7,508690
2016-04-05,95.06,96.0,94.03,95.14,561897
2016-04-06,94.92,97.76,94.28,97.22,687967
2016-04-07,96.97,97.01,94.54,95.64,580306
2016-04-08,99.0,99.0,93.9,96.25,634208
2016-04-11,96.45,96.74,94.89,95.1,386370
2016-04-12,95.02,96.41,94.86,96.18,625193
2016-04-13,96.63,98.98,95.91,98.57,526107
2016-04-14,98.75,98.92,97.0,97.37,397045
2016-04-15,96.86,98.4,95.81,98.22,509032
2016-04-18,97.66,101.39,97.63,101.17,625245
2016-04-19,101.77,103.17,100.04,100.38,824959
2016-04-20,100.77,102.62,100.3,101.64,595801
2016-04-21,101.38,102.78,101.01,102.12,386643
2016-04-22,100.64,103.12,100.64,101.83,410577
2016-04-25,101.5,102.34,101.07,102.3,315502
2016-04-26,102.37,102.57,100.84,102.03,333851
2016-04-27,101.73,102.41,100.55,102.05,263317
2016-04-28,99.5,102.43,98.6,99.94,561661
2016-04-29,99.38,100.0,95.93,97.14,922343
2016-05-02,97.61,100.77,97.61,99.26,898845
2016-05-03,101.06,101.4,96.39,98.9,1641109
2016-05-04,98.92,99.35,94.41,94.89,802133
2016-05-05,94.88,96.29,93.45,94.77,609721
2016-05-06,93.82,95.95,93.0,94.94,503750
